date,Permits Issued (Initial & Renewal),Permitted Jobs Pro Cert,Permitted Jobs Pro Cert & Audited,BOC Target (Permitted Jobs Pro Cert)
5/1/2019,11976,0.5697,0.181,0.7
6/1/2019,14740,0.6137,0.155,0.7
7/1/2019,13644,0.5803,0.175,0.7
8/1/2019,11974,0.5749,0.156,0.7
9/1/2019,17820,0.6341,0.148,0.7
10/1/2019,18627,0.6415,0.133,0.7
11/1/2019,16619,0.6124,0.144,0.7
12/1/2019,13273,0.6027,0.161,0.7
1/1/2020,13572,0.6085,0.144,0.7
2/1/2020,14231,0.5988,0.087,0.7
3/1/2020,13374,0.6694,0.056,0.7
4/1/2020,4649,0.612,0.136,0.7
